frame_index,frame_time,pitch
0,0.0,0.0
1,0.02,0.0
2,0.04,0.0
3,0.06,0.0
4,0.08,0.0
5,0.1,0.0
6,0.12,0.0
7,0.14,0.0
8,0.16,0.0
9,0.18,0.0
10,0.2,0.0
11,0.22,0.0
12,0.24,0.0
13,0.26,0.0
14,0.28,0.0
15,0.3,0.0
16,0.32,0.0
17,0.34,0.0
18,0.36,0.0
19,0.38,0.0
20,0.4,0.0
21,0.42,0.0
22,0.44,0.0
23,0.46,0.0
24,0.48,0.0
25,0.5,0.0
26,0.52,0.0
27,0.54,0.0
28,0.56,0.0
29,0.58,0.0
30,0.6,0.0
31,0.62,0.0
32,0.64,0.0
33,0.66,0.0
34,0.68,0.0
35,0.7000000000000001,0.0
36,0.72,0.0
37,0.74,0.0
38,0.76,0.0
39,0.78,0.0
40,0.8,0.0
41,0.8200000000000001,0.0
42,0.84,0.0
43,0.86,0.0
44,0.88,0.0
45,0.9,0.0
46,0.92,0.0
47,0.9400000000000001,0.0
48,0.96,0.0
49,0.98,0.0
50,1.0,0.0
51,1.02,0.0
52,1.04,0.0
53,1.06,0.0
54,1.08,0.0
55,1.1,0.0
56,1.12,0.0
57,1.1400000000000001,0.0
58,1.16,0.0
59,1.18,0.0
60,1.2,0.0
61,1.22,0.0
62,1.24,0.0
63,1.26,0.0
64,1.28,0.0
65,1.3,0.0
66,1.32,0.0
67,1.34,0.0
68,1.36,0.0
69,1.3800000000000001,0.0
70,1.4000000000000001,0.0
71,1.42,0.0
72,1.44,0.0
73,1.46,0.0
74,1.48,0.0
75,1.5,0.0
76,1.52,0.0
77,1.54,0.0
78,1.56,0.0
79,1.58,0.0
80,1.6,0.0
81,1.62,0.0
82,1.6400000000000001,0.0
83,1.6600000000000001,0.0
84,1.68,0.0
85,1.7,0.0
86,1.72,0.0
87,1.74,0.0
88,1.76,0.0
89,1.78,0.0
90,1.8,0.0
91,1.82,0.0
92,1.84,0.0
93,1.86,0.0
94,1.8800000000000001,0.0
95,1.9000000000000001,0.0
96,1.92,0.0
97,1.94,0.0
98,1.96,0.0
99,1.98,0.0
100,2.0,0.0
101,2.02,0.0
102,2.04,0.0
103,2.06,0.0
104,2.08,0.0
105,2.1,0.0
106,2.12,0.0
107,2.14,0.0
108,2.16,0.0
109,2.18,0.0
110,2.2,0.0
111,2.22,0.0
112,2.24,0.0
113,2.2600000000000002,0.0
114,2.2800000000000002,0.0
115,2.3000000000000003,0.0
116,2.32,0.0
117,2.34,0.0
118,2.36,0.0
119,2.38,0.0
120,2.4,0.0
121,2.42,0.0
122,2.44,0.0
123,2.46,0.0
124,2.48,0.0
125,2.5,0.0
126,2.52,0.0
127,2.54,0.0
128,2.56,0.0
129,2.58,0.0
130,2.6,0.0
131,2.62,0.0
132,2.64,0.0
133,2.66,0.0
134,2.68,0.0
135,2.7,0.0
136,2.72,0.0
137,2.74,0.0
138,2.7600000000000002,0.0
139,2.7800000000000002,0.0
140,2.8000000000000003,0.0
141,2.82,0.0
142,2.84,0.0
143,2.86,0.0
144,2.88,0.0
145,2.9,0.0
146,2.92,0.0
147,2.94,0.0
148,2.96,0.0
149,2.98,0.0
150,3.0,0.0
151,3.02,0.0
152,3.04,0.0
153,3.06,0.0
154,3.08,0.0
155,3.1,0.0
156,3.12,0.0
157,3.14,0.0
158,3.16,0.0
159,3.18,0.0
160,3.2,0.0
161,3.22,0.0
162,3.24,0.0
163,3.2600000000000002,0.0
164,3.2800000000000002,0.0
165,3.3000000000000003,0.0
166,3.3200000000000003,0.0
167,3.34,0.0
168,3.36,0.0
169,3.38,0.0
170,3.4,0.0
171,3.42,0.0
172,3.44,0.0
173,3.46,0.0
174,3.48,0.0
175,3.5,0.0
176,3.52,0.0
177,3.54,0.0
178,3.56,0.0
179,3.58,0.0
180,3.6,0.0
181,3.62,0.0
182,3.64,0.0
183,3.66,0.0
184,3.68,0.0
185,3.7,0.0
186,3.72,0.0
187,3.74,0.0
188,3.7600000000000002,0.0
189,3.7800000000000002,0.0
190,3.8000000000000003,0.0
191,3.8200000000000003,0.0
192,3.84,0.0
193,3.86,0.0
194,3.88,0.0
195,3.9,0.0
196,3.92,0.0
197,3.94,0.0
198,3.96,0.0
199,3.98,0.0
200,4.0,0.0
201,4.0200000000000005,0.0
202,4.04,0.0
203,4.0600000000000005,0.0
204,4.08,0.0
205,4.1,0.0
206,4.12,0.0
207,4.14,0.0
208,4.16,0.0
209,4.18,0.0
210,4.2,0.0
211,4.22,0.0
212,4.24,0.0
213,4.26,0.0
214,4.28,0.0
215,4.3,0.0
216,4.32,0.0
217,4.34,0.0
218,4.36,0.0
219,4.38,0.0
220,4.4,0.0
221,4.42,0.0
222,4.44,0.0
223,4.46,0.0
224,4.48,0.0
225,4.5,0.0
226,4.5200000000000005,0.0
227,4.54,0.0
228,4.5600000000000005,0.0
229,4.58,0.0
230,4.6000000000000005,0.0
231,4.62,0.0
232,4.64,0.0
233,4.66,0.0
234,4.68,0.0
235,4.7,0.0
236,4.72,0.0
237,4.74,0.0
238,4.76,0.0
239,4.78,0.0
240,4.8,0.0
241,4.82,0.0
242,4.84,0.0
243,4.86,0.0
244,4.88,0.0
245,4.9,0.0
246,4.92,0.0
247,4.94,0.0
248,4.96,0.0
249,4.98,0.0
250,5.0,0.0
251,5.0200000000000005,0.0
252,5.04,0.0
253,5.0600000000000005,0.0
254,5.08,0.0
255,5.1000000000000005,0.0
256,5.12,0.0
257,5.14,0.0
258,5.16,0.0
259,5.18,0.0
260,5.2,0.0
261,5.22,0.0
262,5.24,0.0
263,5.26,0.0
264,5.28,0.0
265,5.3,0.0
266,5.32,0.0
267,5.34,0.0
268,5.36,0.0
269,5.38,0.0
270,5.4,0.0
271,5.42,0.0
272,5.44,0.0
273,5.46,0.0
274,5.48,0.0
275,5.5,0.0
276,5.5200000000000005,0.0
277,5.54,0.0
278,5.5600000000000005,0.0
279,5.58,0.0
280,5.6000000000000005,0.0
281,5.62,0.0
282,5.64,0.0
283,5.66,0.0
284,5.68,0.0
285,5.7,0.0
286,5.72,0.0
287,5.74,0.0
288,5.76,0.0
289,5.78,0.0
290,5.8,0.0
291,5.82,0.0
292,5.84,0.0
293,5.86,0.0
294,5.88,0.0
295,5.9,0.0
296,5.92,0.0
297,5.94,0.0
298,5.96,0.0
299,5.98,0.0
300,6.0,0.0
301,6.0200000000000005,0.0
302,6.04,0.0
303,6.0600000000000005,0.0
304,6.08,0.0
305,6.1000000000000005,0.0
306,6.12,0.0
307,6.140000000000001,0.0
308,6.16,0.0
309,6.18,0.0
310,6.2,0.0
311,6.22,0.0
312,6.24,0.0
